,Category,Sub Category,Brand Name,Product Rating,Product Name,Name,Weight,MRP/Unit,Qnty,Unit Qnty,Cost Price,Product ID
150,"Food Grains, Oli and Masala",Masalas and Spiced Masalas,Catch ,2,CATCH HING 25g,CATCH HING ,25g,45.0,10.0,1.0,287.1,202212151.0
151,"Food Grains, Oli and Masala",Masalas and Spiced Masalas,Catch ,3,CATCH KASURI METHI 50g,CATCH KASURI METHI ,50g,46.0,6.0,1.0,176.16,202212152.0
152,"Food Grains, Oli and Masala",Masalas and Spiced Masalas,Catch ,2,CATCH MEAT MASALA 100g,CATCH MEAT MASALA ,100g,72.0,3.0,1.0,137.82,202212153.0
153,"Food Grains, Oli and Masala",Masalas and Spiced Masalas,Catch ,2,CATCH PAV BHAJI MASALA 100g,CATCH PAV BHAJI MASALA ,100g,66.0,6.0,1.0,252.66,202212154.0
154,"Food Grains, Oli and Masala",Masalas and Spiced Masalas,Catch ,4,CATCH RAJMA MASALA 100g,CATCH RAJMA MASALA ,100g,63.0,6.0,1.0,241.2,202212155.0
155,"Food Grains, Oli and Masala",Masalas and Spiced Masalas,Catch ,4,CATCH SABJI MASALA 100 gm,CATCH SABJI MASALA ,100 gm,52.0,6.0,1.0,206.7,202212156.0
156,"Food Grains, Oli and Masala",Masalas and Spiced Masalas,Catch ,5,CATCH SALT SPRNKLR 200 gm,CATCH SALT SPRNKLR ,200 gm,35.0,6.0,1.0,178.5,202212157.0
157,"Food Grains, Oli and Masala",Masalas and Spiced Masalas,Catch ,1,CATCH TURMERIC PWD 200g PP,CATCH TURMERIC PWD ,200g PP,56.0,6.0,1.0,223.98,202212158.0
158,Snacks & Namkeen,"Pasta , Macaroni and Noodles",Chef's basket,4,CHEF BASKET ALFREDO PASTA237g,CHEF BASKET ALFREDO PASTA,237g,99.0,1.0,1.0,79.47,202212159.0
159,Snacks & Namkeen,"Pasta , Macaroni and Noodles",Chef's basket,1,CHEF BASKET TOMATO PASTA 237g,CHEF BASKET TOMATO PASTA ,237g,99.0,1.0,1.0,79.47,202212160.0
160,Snacks & Namkeen,"Pasta , Macaroni and Noodles",Chings Secret,2,CHINGS HAKKA VEG NOODLES 150 g,CHINGS HAKKA VEG NOODLES ,150 g,30.0,2.0,1.0,51.02,202212161.0
161,Snacks & Namkeen,Soups,Chings Secret,1,CHINGS HOT & SOUR SOUP 55g,CHINGS HOT & SOUR SOUP ,55g,55.0,20.0,1.0,754.2,202212162.0
162,Snacks & Namkeen,Soups,Chings Secret,4,CHINGS MANCHOW SOUP 55g,CHINGS MANCHOW SOUP ,55g,55.0,10.0,1.0,377.1,202212163.0
163,Snacks & Namkeen,Soups,Chings Secret,3,CHINGS MIX VEG SOUP 55g,CHINGS MIX VEG SOUP ,55g,55.0,11.0,1.0,414.81,202212164.0
164,Snacks & Namkeen,Soups,Chings Secret,4,CHINGS PRE SHZWAN CHUTNEY BT 250g,CHINGS PRE SHZWAN CHUTNEY BT ,250g,80.0,5.0,1.0,288.0,202212165.0
165,Snacks & Namkeen,Soups,Chings Secret,5,CHINGS SWEET CORN SOUP 55g,CHINGS SWEET CORN SOUP ,55g,55.0,8.0,1.0,301.68,202212166.0
166,"Food Grains, Oli and Masala",Masalas and Spiced Masalas,ChukDe,3,CHUKDE PANCHPURAN 100g,CHUKDE PANCHPURAN ,100g,45.0,6.0,1.0,199.98,202212167.0
167,Beauty,Skin Care,Cinthol,5,CINTHOL LIME SOAP 100G *4,CINTHOL LIME SOAP ,100G *4,99.0,4.0,1.0,303.52,202212168.0
168,Beauty,Skin Care,Cinthol,3,CINTHOL REGULAR SOAP 100g,CINTHOL REGULAR SOAP ,100g,35.0,12.0,1.0,324.96,202212169.0
169,Household ,Hand Sanitizer ,Cipla,2,CIPLA SRFC DSINFCTNT SNTZR75ml,CIPLA SRFC DSINFCTNT SNTZR,75ml,129.0,3.0,1.0,201.21,202212170.0
170,Beauty,Hair Care & Hair Oil,Clinic Plus,1,CLINIC PLUS NTRL SH 175ml,CLINIC PLUS NTRL SH ,175ml,84.0,3.0,1.0,185.85,202212171.0
171,Beauty,Hair Care & Hair Oil,Clinic Plus,1,CLINIC PLUS SHAMPOO 175 ml,CLINIC PLUS SHAMPOO ,175 ml,84.0,3.0,1.0,190.68,202212172.0
172,Hygiene and Beauty,Oral Care,Hindustan Unilever Closeup,1,CLOSE UP RED TOOTH PASTE 50g,CLOSE UP RED TOOTH PASTE ,50g,20.0,1.0,1.0,15.69,202212173.0
173,Hygiene and Beauty,Oral Care,Hindustan Unilever Closeup,3,CLOSE UP RED TOOTH PASTE 50g,CLOSE UP RED TOOTH PASTE ,50g,0.0,6.0,1.0,90.84,202212174.0
174,Hygiene and Beauty,Oral Care,Hindustan Unilever Closeup,3,CLOSE UP RED TOOTH PASTE 80g,CLOSE UP RED TOOTH PASTE ,80g,40.0,6.0,1.0,181.62,202212175.0
175,Hygiene and Beauty,Oral Care,Hindustan Unilever Closeup,4,CLOSE UP TP VALUE PACK300g,CLOSE UP TP VALUE PACK,300g,150.0,6.0,1.0,650.88,202212176.0
176,Beverages,Cold Drinks,Coca Cola,5,COCA COLA CAN 300 ml,COCA COLA CAN ,300 ml,35.0,9.0,1.0,175.41,202212177.0
177,Beverages,Cold Drinks,Coca Cola,3,DIET COKE 300ml,DIET COKE ,300ml,90.0,7.0,1.0,377.79,202212178.0
178,Hygiene and Beauty,Oral Care,Colgate,4,COL MAXFRESH RED TOOTH PASTE150g,COL MAXFRESH RED TOOTH PASTE,150g,95.0,12.0,1.0,810.84,202212179.0
179,Hygiene and Beauty,Oral Care,Colgate,2,COL MAXFRSH RED SPICY FRSH 46g,COL MAXFRSH RED SPICY FRSH ,46g,20.0,12.0,1.0,173.52,202212180.0
180,Hygiene and Beauty,Oral Care,Colgate,4,COLGATE ACTIVE SALT TP 100g,COLGATE ACTIVE SALT TP ,100g,55.0,12.0,1.0,475.8,202212181.0
181,Hygiene and Beauty,3,Colgate,3,COLGATE CHARCOAL CLEAN 120g,COLGATE CHARCOAL CLEAN ,120g,99.0,12.0,1.0,726.96,202212182.0
182,Hygiene and Beauty,3,Colgate,3,COLGATE CHARCOAL CLEAN 120g,COLGATE CHARCOAL CLEAN ,120g,99.0,2.0,1.0,121.16,202212183.0
183,Hygiene and Beauty,3,Colgate,3,COLGATE CIBACA TOOTH.P 175g+175g,COLGATE CIBACA TOOTH.P ,175g+175g,100.0,6.0,1.0,454.02,202212184.0
184,Hygiene and Beauty,4,Colgate,4,COLGATE CIBACA TOOTHPASTE 175g,COLGATE CIBACA TOOTHPASTE ,175g,55.0,12.0,1.0,484.56,202212185.0
185,Hygiene and Beauty,2,Colgate,2,COLGATE DENTAL CREAM 19g PK12,COLGATE DENTAL CREAM ,19g PK12,10.0,2.0,12.0,184.9,202212186.0
186,Hygiene and Beauty,4,Colgate,4,COLGATE DENTAL CREAM TP 100g,COLGATE DENTAL CREAM TP ,100g,52.0,24.0,1.0,944.4,202212187.0
187,Hygiene and Beauty,4,Colgate,4,COLGATE GENTLE SENSITIVE TB 1u,COLGATE GENTLE SENSITIVE TB ,1u,50.0,6.0,1.0,171.0,202212188.0
188,Hygiene and Beauty,3,Colgate,3,COLGATE HERB TOOTH PASTE 200 gm,COLGATE HERB TOOTH PASTE ,200 gm,100.0,24.0,1.0,1713.84,202212189.0
189,Hygiene and Beauty,3,Colgate,3,COLGATE HERBAL TOOTHPASTE 100g,COLGATE HERBAL TOOTHPASTE ,100g,58.0,12.0,1.0,479.16,202212190.0
190,Hygiene and Beauty,4,Colgate,4,COLGATE KIDS (AGE2+)T.BRUSH,COLGATE KIDS (AGE,2+)T.BRUSH,20.0,12.0,1.0,141.72,202212191.0
191,Hygiene and Beauty,4,Colgate,4,COLGATE KIDS INFANT PREMIUM TOOTHBRUS 1u,COLGATE KIDS INFANT PREMIUM TOOTHBRUS ,1u,150.0,2.0,1.0,222.46,202212192.0
192,Hygiene and Beauty,5,Colgate,5,COLGATE KIDS BARBIE RED TP 80g,COLGATE KIDS BARBIE RED TP ,80g,90.0,12.0,1.0,780.36,202212193.0
193,Hygiene and Beauty,4,Colgate,4,COLGATE KIDS BARBIE T.BRUSH 1u,COLGATE KIDS BARBIE T.BRUSH ,1u,79.0,6.0,1.0,270.12,202212194.0
194,Hygiene and Beauty,5,Colgate,5,COLGATE KIDS BATMAN T.BRUSH 1u,COLGATE KIDS BATMAN T.BRUSH ,1u,79.0,6.0,1.0,270.12,202212195.0
195,Hygiene and Beauty,5,Colgate,5,COLGATE LADY TOOTHBRUSH 1u,COLGATE LADY TOOTHBRUSH ,1u,30.0,11.0,1.0,195.03,202212196.0
196,Hygiene and Beauty,5,Colgate,5,COLGATE MAX FRESH BLUE TP 150g,COLGATE MAX FRESH BLUE TP ,150g,95.0,12.0,1.0,845.28,202212197.0
197,Hygiene and Beauty,5,Colgate,5,COLGATE MAX FRESH BLUE TP 80g,COLGATE MAX FRESH BLUE TP ,80g,53.0,3.0,1.0,117.9,202212198.0
198,Hygiene and Beauty,5,Colgate,5,COLGATE MAX FRESH RED TP 80g,COLGATE MAX FRESH RED TP ,80g,53.0,3.0,1.0,113.07,202212199.0
199,Hygiene and Beauty,3,Colgate,3,COLGATE MAX FRESH TP 150+150g,COLGATE MAX FRESH TP ,150+150g,170.0,2.0,1.0,224.1,202212200.0
200,Hygiene and Beauty,2,Colgate,2,COLGATE MAX FRSH SMALL TUBES 10g,COLGATE MAX FRSH SMALL TUBES ,10g,10.0,1.0,12.0,89.68,202212201.0
201,Hygiene and Beauty,3,Colgate,3,COLGATE MINION TB 5+,COLGATE MINION TB ,5+,79.0,6.0,1.0,270.12,202212202.0
202,Hygiene and Beauty,2,Colgate,2,COLGATE MINION TP 6+ BUBBLE FR,COLGATE MINION TP ,6+ BUBBLE FR,90.0,2.0,1.0,141.24,202212203.0
203,Hygiene and Beauty,4,Colgate,4,COLGATE PAIN OUT EXPRS RELIFE 1u,COLGATE PAIN OUT EXPRS RELIFE ,1u,60.0,6.0,1.0,260.1,202212204.0
204,Hygiene and Beauty,4,Colgate,4,COLGATE PLAX FRESH MINT MW 250,COLGATE PLAX FRESH MINT MW ,250,120.0,1.0,1.0,90.0,202212205.0
205,Hygiene and Beauty,5,Colgate,5,COLGATE PLAX FRESH TEA MW 250ml,COLGATE PLAX FRESH TEA MW ,250ml,120.0,2.0,1.0,180.0,202212206.0
206,Hygiene and Beauty,4,Colgate,4,COLGATE PLAX PEPPRMINT MW 250ml,COLGATE PLAX PEPPRMINT MW ,250ml,120.0,2.0,1.0,180.0,202212207.0
207,Hygiene and Beauty,5,Colgate,5,COLGATE SENSITIVE PLUS TP 30g,COLGATE SENSITIVE PLUS TP ,30g,60.0,12.0,1.0,498.0,202212208.0
208,Hygiene and Beauty,5,Colgate,5,COLGATE SENSITIVE SET OF 4 TB,COLGATE SENSITIVE SET OF ,4 TB,120.0,3.0,1.0,205.17,202212209.0
209,Hygiene and Beauty,3,Colgate,3,COLGATE SENSITIVE TOOTHPASTE 80g,COLGATE SENSITIVE TOOTHPASTE ,80g,120.0,6.0,1.0,498.06,202212210.0
210,Hygiene and Beauty,4,Colgate,4,COLGATE SUPERFLEXI B2G1,COLGATE SUPERFLEXI B,2G1,40.0,1.0,7.0,165.36,202212211.0
211,Hygiene and Beauty,3,Colgate,3,COLGATE SWARN VEDSHAKTI40g PK6,COLGATE SWARN VEDSHAKTI,40g PK6,20.0,1.0,6.0,71.01,202212212.0
212,Hygiene and Beauty,4,Colgate,4,COLGATE SWARNA VEDSHAKTIš100g,COLGATE SWARNA VEDSHAKTIš,100g,49.0,36.0,1.0,1268.28,202212213.0
213,Hygiene and Beauty,5,Colgate,5,COLGATE SWARNAVEDSHAKTI 25g,COLGATE SWARNAVEDSHAKTI ,25g,10.0,2.0,1.0,186.6,202212214.0
214,Hygiene and Beauty,4,Colgate,4,COLGATE TOOTH PASTE 13g,COLGATE TOOTH PASTE ,13g,5.0,1.0,1.0,46.23,202212215.0
215,Hygiene and Beauty,3,Colgate,3,COLGATE TOOTH POWDER 100g,COLGATE TOOTH POWDER ,100g,49.0,2.0,1.0,81.54,202212216.0
216,Hygiene and Beauty,3,Colgate,3,COLGATE TOOTHPASTE ACTIVE SLT200g,COLGATE TOOTHPASTE ACTIVE SLT,200g,100.0,12.0,1.0,862.68,202212217.0
217,Hygiene and Beauty,4,Colgate,4,COLGATE TOOTHPASTE DNTLCRM 200g,COLGATE TOOTHPASTE DNTLCRM ,200g,95.0,12.0,1.0,862.56,202212218.0
218,Hygiene and Beauty,4,Colgate,4,COLGATE TPADNTL CRM 46g PK12,COLGATE TPADNTL CRM ,46g PK12,20.0,1.0,12.0,184.9,202212219.0
219,Hygiene and Beauty,4,Colgate,4,COLGATE VISIBLE WHITE 200g,COLGATE VISIBLE WHITE ,200g,180.0,6.0,1.0,747.06,202212220.0
220,Hygiene and Beauty,3,Colgate,3,COLGATE VISIBLE WHITE 200g,COLGATE VISIBLE WHITE ,200g,180.0,2.0,1.0,249.02,202212221.0
221,Hygiene and Beauty,2,Colgate,2,COLGATE VISIBLE WHITE TPASTE 100g,COLGATE VISIBLE WHITE TPASTE ,100g,99.0,12.0,1.0,783.12,202212222.0
222,Hygiene and Beauty,3,Colgate,3,COLGATE VISIBLE WHITE TPASTE 50g,COLGATE VISIBLE WHITE TPASTE ,50g,59.0,12.0,1.0,489.72,202212223.0
223,Hygiene and Beauty,5,Colgate,5,COLGATE VISIBLE WHITE TPASTE 50g,COLGATE VISIBLE WHITE TPASTE ,50g,59.0,6.0,1.0,244.86,202212224.0
224,Hygiene and Beauty,5,Colgate,5,COLGATE ZIG ZAG BLACK SOFT TB 1u,COLGATE ZIG ZAG BLACK SOFT TB ,1u,30.0,1.0,1.0,112.99,202212225.0
225,Hygiene and Beauty,5,Colgate,5,COLGATE ZIGZAG NEEM HNGR TB5+1,COLGATE ZIGZAG NEEM HNGR TB,5+1,0.0,1.0,1.0,74.16,202212226.0
226,Hygiene and Beauty,2,Colgate,2,COLGATE ZIGZAG TOOTHBRUSH B2G1,COLGATE ZIGZAG TOOTHBRUSH B,2G1,50.0,6.0,1.0,242.16,202212227.0
227,Household ,5,Colin ,5,COLIN PUMP 250 ml,COLIN PUMP ,250 ml,61.0,3.0,1.0,138.45,202212228.0
228,Beauty,4,Garnier,4,COLOR NATRLS H.CLR NO 3 DRK BRWN,COLOR NATRLS H.CLR NO ,3 DRK BRWN,180.0,2.0,1.0,262.48,202212229.0
229,Household ,4,Comfort ,4,COMFORT FAB COND FRSH 200ml,COMFORT FAB COND FRSH ,200ml,56.0,3.0,1.0,125.04,202212230.0
230,Household ,4,Comfort ,4,COMFORT FABš LILY FRSH 220ml,COMFORT FABš LILY FRSH ,220ml,56.0,3.0,1.0,125.04,202212231.0
231,Beverages,4,Complan,4,COMPLAN KESAR BADAM 500g RFL,COMPLAN KESAR BADAM ,500g RFL,315.0,1.0,1.0,236.9,202212232.0
232,Beverages,5,Complan,5,COMPLAN KESAR BADAM 500g RFL,COMPLAN KESAR BADAM ,500g RFL,315.0,1.0,1.0,236.9,202212233.0
233,Gourmet Foods,3,Cremica,3,CREMICA CREAM ELAICHI 85g,CREMICA CREAM ELAICHI ,85g,10.0,12.0,1.0,87.6,202212234.0
234,Gourmet Foods,2,Cremica,2,CREMICA JEERA LITE 82g,CREMICA JEERA LITE ,82g,10.0,16.0,1.0,116.8,202212235.0
235,Gourmet Foods,2,Cremica,2,CREMICA PREMIUM CHOCOCHIPS100g,CREMICA PREMIUM CHOCOCHIPS,100g,30.0,9.0,1.0,204.3,202212236.0
236,Gourmet Foods,4,Cremica,4,CREMICA TOMATO KETCHUP 8gm PK100,CREMICA TOMATO KETCHUP ,8gm PK100,1.0,1.0,100.0,87.88,202212237.0
237,Gourmet Foods,3,Cremica,3,CREMICA VEG MAYONNAISE 875g,CREMICA VEG MAYONNAISE ,875g,175.0,2.0,1.0,206.98,202212238.0
238,Household ,3,Cycle,3,CYCLE AGARBATHI 3 IN 1,CYCLE AGARBATHI ,3 IN 1,25.0,6.0,1.0,122.1,202212239.0
239,Household ,4,Cycle,4,CYCLE YAGNA AGARBATHI 100g,CYCLE YAGNA AGARBATHI ,100g,80.0,1.0,1.0,67.43,202212240.0
240,Beauty,4,Cycle,4,DABUR AMLA HAIR OIL 90ml,DABUR AMLA HAIR OIL ,90ml,44.0,12.0,1.0,399.48,202212241.0
241,Health and Beauty,3,Dabur,3,DABUR CHYNPRSH AVL SPL 500g,DABUR CHYNPRSH AVL SPL ,500g,180.0,2.0,1.0,295.86,202212242.0
242,Health and Beauty,2,Dabur,2,DABUR CHYNPRSH AVLSPL 1kg,DABUR CHYNPRSH AVLSPL ,1kg,0.0,1.0,1.0,271.43,202212243.0
243,"Food Grains, Oli and Masala",2,Dabur,2,DABUR GINGER GARLIC PASTE 25g,DABUR GINGER GARLIC PASTE ,25g,5.0,14.0,1.0,56.28,202212244.0
244,Health and Beauty,1,Dabur,1,DABUR HALDI DROPS 30ml,DABUR HALDI DROPS ,30ml,195.0,2.0,1.0,245.66,202212245.0
245,Household ,1,Dabur ,1,DABUR ODOMOS NATURL SPRAY100 ml,DABUR ODOMOS NATURL SPRAY,100 ml,85.0,2.0,1.0,133.4,202212246.0
246,Household ,3,Dabur ,3,DABUR ODOMOSFABRICROLON8 ml B1G1,DABUR ODOMOSFABRICROLON,8 ml B1G1,75.0,6.0,1.0,340.5,202212247.0
247,Hygiene and Beauty,2,Dabur,2,DABUR RED TOOTH PASTE 100g,DABUR RED TOOTH PASTE ,100g,52.0,6.0,1.0,225.9,202212248.0
248,Hygiene and Beauty,3,Dabur,3,DABUR RED TOOTH PASTE 20g,DABUR RED TOOTH PASTE ,20g,10.0,1.0,1.0,91.53,202212249.0
249,Hygiene and Beauty,5,Dabur,5,DABUR RED TOOTH PASTE 45g,DABUR RED TOOTH PASTE ,45g,20.0,24.0,1.0,345.84,202212250.0
250,"Food Grains, Oli and Masala",4,Dabur,4,DABUR TAMARIND PASTE 200 gm,DABUR TAMARIND PASTE ,200 gm,44.0,3.0,1.0,107.13,202212251.0
251,"Food Grains, Oli and Masala",3,Dalda,3,DALDA SOY OIL 1l PP,DALDA SOY OIL ,1l PP,150.0,4.0,1.0,396.2,202212252.0
252,"Food Grains, Oli and Masala",4,Dalda,4,DALDA VANASPATI 500ml PP,DALDA VANASPATI ,500ml PP,75.0,5.0,1.0,247.6,202212253.0
253,"Food Grains, Oli and Masala",2,Pro Nature,2,PRO NATURE ORGANIC DALIYA 500 gm,PRO NATURE ORGANIC DALIYA ,500 gm,40.0,3.0,1.0,60.0,202212254.0
254,Gourmet Foods,3,Delmonte,3,DELMONTE KETCHUP DOY 500 gm,DELMONTE KETCHUP DOY ,500 gm,75.0,2.0,1.0,118.52,202212255.0
255,Household ,2,Dettol,2,DETTOL DISINFECTANT MENTHOL 200,DETTOL DISINFECTANT MENTHOL ,200,98.0,3.0,1.0,218.4,202212256.0
256,Household ,2,Dettol,2,DETTOL DISINFECTANT MENTHOL 500,DETTOL DISINFECTANT MENTHOL ,500,193.0,2.0,1.0,286.76,202212257.0
257,Household ,2,Dettol,2,DETTOL HAND SANITZER GEL 500ml,DETTOL HAND SANITZER GEL ,500ml,250.0,2.0,1.0,331.16,202212258.0
258,Household ,2,Dettol,2,DETTOL MULTIUSE HYGIENE LIQ 500 ml,DETTOL MULTIUSE HYGIENE LIQ ,500 ml,193.0,2.0,1.0,286.76,202212259.0
259,Household ,1,Dettol,1,DETTOL ORGNL PUMP LIQ HW 250ml,DETTOL ORGNL PUMP LIQ HW ,250ml,99.0,6.0,1.0,439.38,202212260.0
260,Beauty,2,Dettol,2,DETTOL ORIGINAL SOAP 125g,DETTOL ORIGINAL SOAP ,125g,50.0,6.0,1.0,225.84,202212261.0
261,Beauty,3,Dettol,3,DETTOL ORIGINAL SOAP 125G ,DETTOL ORIGINAL SOAP ,125G ,200.0,9.0,1.0,1349.46,202212262.0
262,Beauty,2,Dettol,2,DETTOL ORIGINAL SOAP 125G ,DETTOL ORIGINAL SOAP ,125G ,200.0,2.0,1.0,299.88,202212263.0
263,Beauty,3,Dettol,3,DETTOL ORIGINAL SOAP 75g,DETTOL ORIGINAL SOAP ,75g,30.0,16.0,1.0,368.16,202212264.0
264,Beauty,2,Dettol,2,DETTOL SOAP CTRUS125g ,DETTOL SOAP CTRUS,125g ,120.0,2.0,1.0,291.52,202212265.0
265,Beauty,3,Dettol,3,DETTOL SOAP ORGNL 75g ,DETTOL SOAP ORGNL ,75g ,120.0,4.0,1.0,353.92,202212266.0
266,Beauty,2,Dettol,2,DETTOL SOAP TULSI 75g ,DETTOL SOAP TULSI ,75g ,120.0,10.0,1.0,898.3,202212267.0
267,Beauty,1,Dettol,1,DETTOL SOAP TULSI125g,DETTOL SOAP TULSI,125g,195.0,2.0,1.0,291.52,202212268.0
268,"Food Grains, Oli and Masala",1,Dhara,1,DHARA VEG OIL 1l PP,DHARA VEG OIL ,1l PP,125.0,5.0,1.0,471.45,202212269.0
269,Beverages,1,Coca Cola,1,DIET COKE 180 ml,DIET COKE ,180 ml,25.0,6.0,1.0,75.66,202212270.0
270,Snacks & Namkeen,2,Diet Food,2,DIET FOOD PP SOYA CHPS 150g,DIET FOOD PP SOYA CHPS ,150g,60.0,2.0,1.0,71.8,202212271.0
271,Snacks & Namkeen,3,Diet Food,3,DIET FOOD SOYA CHPS 150g,DIET FOOD SOYA CHPS ,150g,60.0,2.0,1.0,71.8,202212272.0
272,Snacks & Namkeen,4,Doritos,4,DORITOS NACHO CHEESE 140g,DORITOS NACHO CHEESE ,140g,65.0,3.0,1.0,144.03,202212273.0
273,Snacks & Namkeen,2,Doritos,2,DORITOS NACHO CHEESE 44g,DORITOS NACHO CHEESE ,44g,20.0,8.0,1.0,129.84,202212274.0
274,Snacks & Namkeen,3,Doritos,3,DORITOS NACHO CHEESE 75g,DORITOS NACHO CHEESE ,75g,35.0,4.0,1.0,115.76,202212275.0
275,Snacks & Namkeen,2,Doritos,2,DORITOS SWEET CHILLI 140g,DORITOS SWEET CHILLI ,140g,65.0,3.0,1.0,144.03,202212276.0
276,Snacks & Namkeen,1,Doritos,1,DORITOS SWEET CHILLI 44g,DORITOS SWEET CHILLI ,44g,20.0,7.0,1.0,107.87,202212277.0
277,Beauty,3,Dove,3,DOVE CREAM BAR SOAP 50g,DOVE CREAM BAR SOAP ,50g,20.0,12.0,1.0,184.8,202212278.0
278,Beauty,3,Dove,3,DOVE CRM BEUTY BTHNG SP 3*75g,DOVE CRM BEUTY BTHNG SP ,3*75g,101.0,6.0,1.0,438.36,202212279.0
279,Beauty,4,Dove,4,DOVE HF THEREPY COND 7 ml,DOVE HF THEREPY COND ,7 ml,4.0,1.0,1.0,170.86,202212280.0
280,Beauty,3,Dove,3,DOVE INTENSE REP TWIN SACHET 12G,DOVE INTENSE REP TWIN SACHET ,12G,5.0,2.0,25.0,193.28,202212281.0
281,Beauty,4,Dove,4,DOVE INTENSE REPAIR COND 75ml,DOVE INTENSE REPAIR COND ,75ml,90.0,2.0,1.0,141.24,202212282.0
282,Beauty,3,Dove,3,DOVE MEN EXTRA FRESH 150 ml,DOVE MEN EXTRA FRESH ,150 ml,0.0,2.0,1.0,325.94,202212283.0
283,Beauty,1,Dove,1,DOVE MEN FRESH 2IN1 SHM 355 ml,DOVE MEN FRESH ,2IN1 SHM 355 ml,350.0,2.0,1.0,507.02,202212284.0
284,Beauty,1,Dove,1,DOVE MEN SH THICK & STRNG355 ml,DOVE MEN SH THICK & STRNG,355 ml,350.0,2.0,1.0,507.02,202212285.0
285,Beauty,2,Dove,2,DOVE NOURSH STRGT HAIR SH 180m,DOVE NOURSH STRGT HAIR SH ,180m,145.0,3.0,1.0,320.79,202212286.0
286,Beauty,4,Dove,4,DOVE OXYGEN MOISTUR CONDTIONR180m,DOVE OXYGEN MOISTUR CONDTIONR,180m,209.0,3.0,1.0,462.36,202212287.0
287,Beauty,5,Dove,5,DOVE OXYGEN MOISTURE SHAMPOO180 ml,DOVE OXYGEN MOISTURE SHAMPOO,180 ml,145.0,2.0,1.0,227.56,202212288.0
288,Beauty,4,Dove,4,DOVE PINK ROSA BEAUTY BAR 100g,DOVE PINK ROSA BEAUTY BAR ,100g,49.0,6.0,1.0,203.4,202212289.0
289,Beauty,4,Dove,4,DOVE SOAP 100g,DOVE SOAP ,100g,49.0,3.0,1.0,99.15,202212290.0
290,Gourmet Foods,3,Dukes,3,DUKES NICE 150g,DUKES NICE ,150g,0.0,3.0,1.0,116.43,202212291.0
291,Gourmet Foods,3,Dukes,3,DUKES ORANGE WAFFY 75g,DUKES ORANGE WAFFY ,75g,5.0,1.0,30.0,127.12,202212292.0
292,Gourmet Foods,4,Dukes,4,DUKES WAFFY ATC CHOCOLATE 75g,DUKES WAFFY ATC CHOCOLATE ,75g,45.0,13.0,1.0,198.38,202212293.0
293,Gourmet Foods,4,Dukes,4,DUKES WAFFY ROLLS TIN CHOCO 300 gm,DUKES WAFFY ROLLS TIN CHOCO ,300 gm,250.0,4.0,1.0,423.72,202212294.0
294,Gourmet Foods,5,Dukes,5,DUKES WAFFY ROOLS(CHOCO) JAR 250g,DUKES WAFFY ROOLS(CHOCO) JAR ,250g,150.0,4.0,1.0,254.2,202212295.0
295,Gourmet Foods,4,Dukes,4,DUKES WAFFY VANILLA 75g,DUKES WAFFY VANILLA ,75g,45.0,12.0,1.0,183.0,202212296.0
296,Home,5,Duracell,5,DURACELLALK AAAPK BLISTERPACK 6,DURACELLALK AAAPK BLISTERPACK ,6,42.0,2.0,6.0,363.06,202212297.0
297,Home,5,Duracell,5,DURACELLALKAA PK BLISTER PACK 6,DURACELLALKAA PK BLISTER PACK ,6,42.0,2.0,6.0,363.06,202212298.0
298,Beauty,3,Emami,3,EMAMI FAIR & HNDSM 60g,EMAMI FAIR & HNDSM ,60g,130.0,3.0,1.0,284.79,202212299.0
299,Personal Care,4,Engage,4,ENGAGE DEO MAN-FROST 150 ml,ENGAGE DEO MAN-FROST ,150 ml,190.0,2.0,1.0,246.22,202212300.0
300,Personal Care,5,Engage,5,ENGAGE MAN MATE DEODRANT 150 ml,ENGAGE MAN MATE DEODRANT ,150 ml,195.0,2.0,1.0,241.26,202212301.0
301,Personal Care,4,Engage,4,ENGAGE MAN PERFUME SPRAY MThree 12,ENGAGE MAN PERFUME SPRAY MThree ,12,210.0,2.0,1.0,304.2,202212302.0
302,Personal Care,4,Engage,4,ENGAGE MAN PERFUME SPRAY MFour 12,ENGAGE MAN PERFUME SPRAY MFour ,12,210.0,2.0,1.0,304.2,202212303.0
303,Personal Care,3,Engage,3,ENGAGE MAN RUSH DEODRANT 150 ml,ENGAGE MAN RUSH DEODRANT ,150 ml,190.0,2.0,1.0,235.08,202212304.0
304,Personal Care,4,Engage,4,ENGAGE MAN URGE DEODRANT 150 ml,ENGAGE MAN URGE DEODRANT ,150 ml,190.0,2.0,1.0,235.08,202212305.0
305,Health and Beauty,5,Eno,5,ENO COLA 5GM PK30,ENO COLA ,5GM PK30,8.0,2.0,30.0,351.28,202212306.0
306,Health and Beauty,5,Eno,5,ENO COOL LEMON 5g 6S,ENO COOL LEMON ,5g 6S,8.0,12.0,6.0,421.56,202212307.0
307,Health and Beauty,2,Eno,2,ENO LEMON 5g SACHET PK 60,ENO LEMON ,5g SACHET PK 60,8.0,2.0,60.0,702.56,202212308.0
308,Health and Beauty,1,Eno,1,ENO ORANgE 5g SACHET PK30,ENO ORANgE ,5g SACHET PK30,8.0,1.0,30.0,178.57,202212309.0
309,Health and Beauty,3,Eno,3,ENO PLAIN 5g SACHET PK 30,ENO PLAIN ,5g SACHET PK 30,8.0,2.0,30.0,351.28,202212310.0
